# logU  Z  xi  lnh  NV1240 CIV1548 CIV1551     HeII1640 OIII1661 OIII1666 SiIII1883 SiIII1888 CIII1909 OII3727 NeIII3869     HeII4686 Hbeta OIII4959 OIII5007 OI6300 NII6548 Halpha NII6584 SII6717 SII6731 
-1.0 0.0001 0.1 1.0 183400.0 32290000.0 16930000.0 4428000.0 5864000.0 14420000.0 1079000.0 638200.0 8691000.0 583300.0 7300000.0 220800.0 65100000.0 27640000.0 83190000.0 7566.0 1945.0        187800000.0 5741.0 27630.0 19760.0  
-1.0 0.0001 0.1 2.0 182600.0 32160000.0 16860000.0 4428000.0 5813000.0 14300000.0 1531000.0 907400.0 8470000.0 555000.0 7326000.0 220500.0 65310000.0 27600000.0 83070000.0 7603.0 1910.0        188300000.0 5636.0 25900.0 19970.0  
-1.0 0.0001 0.1 3.0 183400.0 31140000.0 16350000.0 4433000.0 5586000.0 13740000.0 1392000.0 848400.0 7812000.0 417600.0 7202000.0 220600.0 65530000.0 27120000.0 81620000.0 7703.0 1686.0        188400000.0 4975.0 16530.0 19270.0  
-1.0 0.0001 0.1 4.0 186000.0 30730000.0 16140000.0 4441000.0 5334000.0 13120000.0 1114000.0 867600.0 7121000.0 178600.0 7106000.0 221000.0 65630000.0 26100000.0 78570000.0 7741.0 1420.0        188400000.0 4192.0 4624.0 9126.0  
-1.0 0.0001 0.3 1.0 182300.0 17090000.0 9764000.0 4266000.0 4682000.0 11520000.0 429100.0 253700.0 5918000.0 456300.0 6771000.0 215300.0 59450000.0 21440000.0 64540000.0 6028.0 1815.0        171800000.0 5357.0 26150.0 18700.0  
-1.0 0.0001 0.3 2.0 181600.0 17060000.0 9734000.0 4267000.0 4654000.0 11450000.0 619600.0 367300.0 5793000.0 436300.0 6816000.0 215100.0 59800000.0 21480000.0 64650000.0 6066.0 1790.0        172800000.0 5282.0 24570.0 18950.0  
-1.0 0.0001 0.3 3.0 182400.0 16560000.0 9460000.0 4270000.0 4470000.0 11000000.0 566300.0 345200.0 5346000.0 330600.0 6708000.0 215100.0 60110000.0 21130000.0 63610000.0 6146.0 1592.0        173100000.0 4697.0 15710.0 18320.0  
-1.0 0.0001 0.3 4.0 185000.0 16280000.0 9293000.0 4275000.0 4240000.0 10430000.0 452500.0 352200.0 4845000.0 141800.0 6601000.0 215300.0 60210000.0 20290000.0 61080000.0 6168.0 1346.0        173000000.0 3971.0 4393.0 8670.0  
-1.0 0.0001 0.5 1.0 181400.0 11130000.0 7402000.0 4120000.0 3377000.0 8315000.0 103000.0 60900.0 3773000.0 322500.0 6314000.0 210300.0 54620000.0 15040000.0 45260000.0 4329.0 1702.0        158200000.0 5021.0 24830.0 17760.0  
-1.0 0.0001 0.5 2.0 180800.0 11100000.0 7395000.0 4121000.0 3363000.0 8282000.0 150900.0 89420.0 3705000.0 309500.0 6368000.0 210000.0 55020000.0 15090000.0 45430000.0 4360.0 1683.0        159300000.0 4968.0 23360.0 18020.0  
-1.0 0.0001 0.5 3.0 181600.0 10770000.0 7199000.0 4122000.0 3233000.0 7960000.0 138700.0 84500.0 3423000.0 236500.0 6276000.0 210000.0 55380000.0 14870000.0 44770000.0 4418.0 1510.0        159700000.0 4455.0 14960.0 17450.0  
-1.0 0.0001 0.5 4.0 184300.0 10520000.0 7051000.0 4124000.0 3052000.0 7515000.0 110500.0 85930.0 3086000.0 101700.0 6163000.0 210100.0 55460000.0 14260000.0 42910000.0 4430.0 1279.0        159600000.0 3776.0 4183.0 8255.0  
-1.0 0.0002 0.1 1.0 144600.0 30890000.0 16260000.0 2350000.0 6817000.0 16700000.0 1530000.0 905300.0 11780000.0 1204000.0 9844000.0 102900.0 52490000.0 37580000.0 113100000.0 11310.0 4136.0        150500000.0 12210.0 42980.0 30750.0  
-1.0 0.0002 0.1 2.0 144100.0 30770000.0 16190000.0 2350000.0 6748000.0 16530000.0 2338000.0 1387000.0 11480000.0 1135000.0 9825000.0 102700.0 52700000.0 37520000.0 112900000.0 11370.0 4005.0        151000000.0 11820.0 40000.0 30860.0  
-1.0 0.0002 0.1 3.0 143800.0 29940000.0 15760000.0 2356000.0 6489000.0 15900000.0 2132000.0 1301000.0 10670000.0 811500.0 9677000.0 102900.0 52970000.0 36940000.0 111200000.0 11560.0 3340.0        151300000.0 9855.0 25510.0 29770.0  
-1.0 0.0002 0.1 4.0 145800.0 29750000.0 15660000.0 2363000.0 6223000.0 15250000.0 1715000.0 1344000.0 9819000.0 324100.0 9571000.0 103200.0 53100000.0 35680000.0 107400000.0 11650.0 2619.0        151400000.0 7728.0 7124.0 14070.0  
-1.0 0.0002 0.3 1.0 143900.0 12700000.0 7819000.0 2164000.0 5134000.0 12600000.0 566300.0 335100.0 7488000.0 865500.0 8386000.0 96880.0 43310000.0 26720000.0 80420000.0 8490.0 3542.0        124600000.0 10450.0 38120.0 27270.0  
-1.0 0.0002 0.3 2.0 143400.0 12670000.0 7782000.0 2165000.0 5098000.0 12510000.0 882800.0 523700.0 7342000.0 822900.0 8404000.0 96730.0 43660000.0 26790000.0 80650000.0 8554.0 3460.0        125500000.0 10210.0 35600.0 27470.0  
-1.0 0.0002 0.3 3.0 143200.0 12350000.0 7556000.0 2169000.0 4889000.0 12000000.0 811100.0 495000.0 6817000.0 597400.0 8289000.0 96890.0 44020000.0 26420000.0 79540000.0 8687.0 2935.0        126100000.0 8662.0 22790.0 26590.0  
-1.0 0.0002 0.3 4.0 145200.0 12170000.0 7409000.0 2173000.0 4623000.0 11350000.0 648400.0 507400.0 6200000.0 239300.0 8154000.0 97150.0 44130000.0 25390000.0 76420000.0 8727.0 2313.0        126100000.0 6827.0 6359.0 12560.0  
-1.0 0.0002 0.5 1.0 143300.0 8427000.0 6113000.0 2011000.0 3550000.0 8729000.0 129200.0 76440.0 4538000.0 569100.0 7306000.0 91920.0 36600000.0 17470000.0 52580000.0 5803.0 3086.0        105600000.0 9107.0 34310.0 24550.0  
-1.0 0.0002 0.5 2.0 142900.0 8395000.0 6097000.0 2012000.0 3533000.0 8688000.0 203800.0 120900.0 4466000.0 543900.0 7338000.0 91790.0 36950000.0 17560000.0 52850000.0 5853.0 3030.0        106600000.0 8942.0 32100.0 24760.0  
-1.0 0.0002 0.5 3.0 142600.0 8136000.0 5928000.0 2016000.0 3393000.0 8341000.0 188600.0 115100.0 4153000.0 400100.0 7253000.0 91910.0 37340000.0 17350000.0 52240000.0 5939.0 2609.0        107200000.0 7699.0 20600.0 24030.0  
-1.0 0.0002 0.5 4.0 144600.0 7916000.0 5786000.0 2019000.0 3188000.0 7838000.0 150300.0 117400.0 3754000.0 161100.0 7119000.0 92120.0 37440000.0 16640000.0 50080000.0 5958.0 2070.0        107300000.0 6110.0 5749.0 11350.0  
