H  1 6562.80A,H  1 4861.32A,H  1 4340.46A,H  1 4101.73A,He 2 1640.41A,He 2 4685.68A,O  1 6300.30A,O  1 6363.78A,O  1 63.1679m,O  1 145.495m,O  2 3726.03A,O  2 3728.81A,O  3 1660.81A,O  3 1666.15A,O  3 4363.21A,O  3 4958.91A,O  3 5006.84A,O  3 51.8004m,O  3 88.3323m,Ne 3 3868.76A,Ne 3 3967.47A,C  2 157.636m,C  3 1906.68A,C  3 1908.73A,C  4 1548.19A,C  4 1550.78A,N  2 6548.05A,N  2 6583.45A,S  2 6716.44A,S  2 6730.82A,S  3 9068.62A,S  3 9530.62A,U,rho,metal,ssp type,age
2.8286,1.0,0.47288,0.25859,0.0031702,0.00041888,0.040042,0.012791,0.017509,0.0017043,0.40063,0.5933,6.6573e-05,0.00019496,0.00018734,0.0062521,0.018654,0.0031908,0.0054252,0.011669,0.0035417,0.086968,0.013589,0.0097157,3.0067e-06,1.6351e-06,0.07291,0.21493,0.17524,0.1223,0.016127,0.040509,-4.0,1.0,0.001,single,3.0
2.8213,1.0,0.47358,0.25824,0.0046494,0.00060362,0.022296,0.0071224,0.0081863,0.0007977,0.50801,0.75115,0.00094738,0.0027744,0.0021815,0.055449,0.16544,0.022512,0.037812,0.030833,0.0093584,0.056911,0.049136,0.034879,9.7905e-05,5.4251e-05,0.074886,0.22075,0.12751,0.089261,0.032314,0.081172,-3.5,1.0,0.001,single,3.0
2.8121,1.0,0.47424,0.25815,0.0052232,0.00066241,0.012877,0.0041136,0.0043051,0.00041984,0.45002,0.66491,0.0058783,0.017215,0.011436,0.23193,0.69199,0.078266,0.13009,0.060891,0.018482,0.035644,0.12446,0.08747,0.0015537,0.00089556,0.055717,0.16424,0.083649,0.058676,0.049583,0.12455,-3.0,1.0,0.001,single,3.0
2.8027,1.0,0.47478,0.25845,0.0055498,0.0006844,0.0085059,0.0027171,0.0026893,0.0002625,0.32284,0.47696,0.014589,0.042724,0.025155,0.43533,1.2989,0.12949,0.21351,0.0902,0.027377,0.023603,0.22252,0.15393,0.0090919,0.0057582,0.037508,0.11057,0.05658,0.03973,0.061076,0.15342,-2.5,1.0,0.001,single,3.0
2.7944,1.0,0.47519,0.25882,0.0058818,0.00070354,0.0062164,0.0019858,0.0018837,0.000184,0.23956,0.35393,0.023232,0.068035,0.037186,0.58223,1.7371,0.16016,0.26234,0.11284,0.03425,0.017015,0.31439,0.21338,0.026829,0.016255,0.027185,0.080136,0.041487,0.02915,0.06625,0.16642,-2.0,1.0,0.001,single,3.0
2.7878,1.0,0.47549,0.25915,0.0062784,0.00072802,0.0047326,0.0015118,0.0013846,0.00013533,0.183,0.27034,0.030909,0.090517,0.047227,0.69261,2.0664,0.18084,0.29459,0.1305,0.03961,0.012772,0.39063,0.26061,0.057554,0.033274,0.020426,0.060211,0.031808,0.02236,0.067666,0.16997,-1.5,1.0,0.001,single,3.0
2.7817,1.0,0.47575,0.25942,0.0067874,0.00076292,0.0036458,0.0011646,0.0010341,0.00010113,0.13935,0.20581,0.038066,0.11148,0.056266,0.78516,2.3426,0.19678,0.31888,0.14567,0.044213,0.0096631,0.45555,0.30015,0.097519,0.055945,0.015367,0.045298,0.024668,0.017349,0.067155,0.16869,-1.0,1.0,0.001,single,3.0
2.7757,1.0,0.47602,0.25969,0.0073779,0.000802,0.0028182,0.00090025,0.00077745,7.6075e-05,0.10478,0.15472,0.045168,0.13227,0.064939,0.86777,2.5891,0.20978,0.3381,0.15966,0.048459,0.007283,0.51429,0.33627,0.13896,0.080721,0.011465,0.033796,0.019104,0.013442,0.065143,0.16364,-0.5,1.0,0.001,single,3.0
2.8287,1.0,0.4729,0.25855,0.0032061,0.00042358,0.039093,0.012488,0.016375,0.0015903,0.40724,0.59107,6.932e-05,0.000203,0.00019474,0.0064776,0.019326,0.0033517,0.0052234,0.011939,0.0036237,0.05497,0.014268,0.009754,3.1787e-06,1.7293e-06,0.072441,0.21354,0.17159,0.12205,0.016404,0.041206,-4.0,1.5,0.001,single,3.0
2.8209,1.0,0.47363,0.25818,0.0046948,0.0006089,0.020733,0.006623,0.0071893,0.00069883,0.51856,0.75099,0.00105,0.003075,0.0024074,0.060757,0.18127,0.02491,0.038286,0.032584,0.0098897,0.033465,0.053459,0.036374,0.00011237,6.2377e-05,0.073958,0.21801,0.12176,0.086976,0.033594,0.084385,-3.5,1.5,0.001,single,3.0
