# logU  Z  xi  lnh  al C/O NV1240 CIV1548 CIV1551     HeII1640 OIII1661 OIII1666 SiIII1883 SiIII1888 CIII1909 OII3727 NeIII3869     HeII4686 Hbeta OIII4959 OIII5007 OI6300 NII6548 Halpha NII6584 SII6717 SII6731 
-1.5 0.0001 0.1 2.0 -1.2 100.0 -4.330599430488512 -2.6963288553359774 -2.9640102430635764 -2.236474675477801 -3.761001001384564 -3.3697959409185074 -4.0219062592934804 -4.224746453500728 -3.0952357818531553 -1.5320812667189898 -3.736600668666 -3.1422093233904107 0.5787652402099752 -3.1608300275656234 -2.682270866271047         -0.09814951941830685 -3.496005151234179 1.2923003848590824 -3.026036702593906 -0.2025247124626688 -0.35784226528577534  
-1.5 0.0001 0.1 2.0 -1.4 100.0 -4.376812756102943 -2.6953156340256115 -2.9560878328987457 -2.3820356307764854 -3.820591848486167 -3.429445385692169 -4.0007345785682915 -4.204857171410154 -3.0946089304259914 -1.5443786759688791 -3.781123284947242 -3.2877123613215673 0.56291114504765 -3.185472734087149 -2.7069027443083513         -0.12168506065031437 -3.509170993696195 1.2760479932968636 -3.0392058814740253 -0.2265646419270979 -0.3818368043412903  
-1.5 0.0001 0.1 2.0 -1.7 100.0 -4.4822104881164435 -2.7782468056811283 -3.0242649805805826 -2.6584863401297483 -3.9711441906095573 -3.580060764922358 -4.030150941199075 -4.233208054377812 -3.1710759987145423 -1.5810361692963752 -3.8878308519983378 -3.5641397144216356 0.5153041207103257 -3.283354042123669 -2.8047924504972457         -0.19219446772937232 -3.5478914159958848 1.2271923065140342 -3.0779132219316736 -0.29862200636872416 -0.45376589389321964  
-1.5 0.0001 0.1 2.0 -2.0 100.0 -4.601695337096508 -2.9176814778919606 -3.1432711096171175 -2.9711848301531134 -4.15472827692728 -3.763664314046096 -4.097942689191534 -4.297767698732287 -3.296760224291276 -1.6285996139690155 -4.023370364874239 -3.8767365240971756 0.453226577998187 -3.4197252427316585 -2.9411565853312354         -0.2840801825664201 -3.598048324015174 1.1634893581926988 -3.1280769681176253 -0.39259859669797237 -0.5475695063003982  
-1.5 0.0001 0.1 3.0 -1.2 100.0 -4.32345270368635 -2.6911155855779825 -2.9596746208002784 -2.234368693363301 -3.7777518831410717 -3.3860102684539157 -4.1401594705495555 -4.355728857915075 -3.1129287236598273 -4.260736280389459 -3.7684029944350925 -3.137367800548546 -2.368251925603431 -3.1672803778602585 -2.6887124613377154         -3.8024162309642264 -5.798193357042976 -1.8780464164547013 -5.3282164262315135 -3.9765417623563266 -4.117743065321299  
-1.5 0.0001 0.1 3.0 -1.4 100.0 -4.3736185665304745 -2.6927393578549967 -2.953934269769313 -2.379853530415339 -3.8401922670305666 -3.448428026325743 -4.116332887831433 -4.331716611276242 -3.1138139518309416 -4.383608517356684 -3.80316085416689 -3.2821714492239167 -2.4598457802412383 -3.191890351759966 -2.713319030645067         -4.063019039175515 -5.982674445438278 -1.9773242380462719 -5.51270604199356 -4.222812504274387 -4.362200170879952  
-1.5 0.0001 0.1 3.0 -1.7 100.0 -4.510322708336304 -2.784071770660084 -3.029741479600368 -2.656808115098592 -4.000917329480117 -3.6091531731046516 -4.153823767472666 -4.368728765398792 -3.1930809973772085 -4.561552589345624 -3.9055638119820415 -3.557332129662747 -2.619517409025022 -3.292685366411291 -2.8141180215900192         -4.509563918806791 -6.283379061248709 -2.143669949666375 -5.81341090872759 -4.646641654473406 -4.780205973308021  
-1.5 0.0001 0.1 3.0 -2.0 100.0 -4.746443932779883 -2.9418397965081695 -3.165375867785251 -2.969643194689155 -4.203904625996941 -3.812140999659036 -4.234368693363301 -4.448574401278904 -3.320835667447305 -4.7215665234625845 -4.046109894579175 -3.867196181997997 -2.786004383631912 -3.435973422734527 -2.9574244875598126         -4.9664154244845875 -6.584509147828534 -2.3125869850266128 -6.114548311374911 -5.076574631328413 -5.198912005756895  
-1.5 0.0001 0.1 4.0 -1.2 100.0 -4.589847250177932 -2.7532306850535306 -3.0257278570179764 -2.2353830694498384 -3.926098441685795 -3.5343197884017243 -4.234815920192737 -4.341416284592938 -3.046506086978283 -4.402381590087046 -3.8416676682910165 -3.117509614985508 -2.366117646973713 -3.2359135762508586 -2.7573592021823856         -3.857767008205286 -5.512564651680449 -1.8791300598208096 -5.042589075668651 -4.1106814864197645 -4.160723119664034  
-1.5 0.0001 0.1 4.0 -1.4 100.0 -4.80285733502744 -2.8198167581517737 -3.082835968570997 -2.3787406076167485 -4.011351874764252 -3.619589752252921 -4.184754408083435 -4.2908403231089665 -3.0568469203165023 -4.52525940152011 -3.8832262730241 -3.258478108226214 -2.455497878170405 -3.2671078918060488 -2.7885323755608553         -4.116486193288317 -5.701037818079882 -1.974366488939303 -5.231066057813216 -4.359488749786415 -4.407712184047867  
-1.5 0.0001 0.1 4.0 -1.7 100.0 -5.327809748811745 -3.0548318811796946 -3.2979832744308553 -2.6527090241438955 -4.233274930073449 -3.841516887300749 -4.1852398130989314 -4.289561054361158 -3.176610551300506 -4.65949639683955 -4.006453556462361 -3.526907358515359 -2.6137686494204715 -3.3907258275954106 -2.912147624836834         -4.523864263449006 -6.01359555654367 -2.137093786436999 -5.543633966870956 -4.7474382137936715 -4.791719921454693  
-1.5 0.0001 0.1 4.0 -2.0 100.0 -6.036589984319768 -3.3806457534856236 -3.612788199686271 -2.9628524963674465 -4.516070536787758 -4.124302238019794 -4.2542617760031405 -4.355787972409075 -3.383860708691273 -4.735229385478135 -4.1761346906754895 -3.830619504688052 -2.782358159226675 -3.566918544224741 -3.0883577440145658         -4.935205188804616 -6.320299619128036 -2.3077789860613436 -5.85031911751706 -5.143095977479014 -5.172385213166564  
-1.5 0.0001 0.3 2.0 -1.2 100.0 -4.335912997379388 -2.834369937623819 -3.0977522747715653 -2.239849035486479 -3.8429060510029203 -3.451598296482665 -4.388637869333749 -4.59844438173711 -3.246432260406621 -1.603451962012869 -3.7492385520203086 -3.145912679019254 0.5793490848427894 -3.2479361791966497 -2.769372288289368         -0.17099873013629718 -3.4934002719580377 1.2934509517160038 -3.0234253649670038 -0.20114916953858852 -0.3564683680582874  
-1.5 0.0001 0.3 2.0 -1.4 100.0 -4.3814185196715485 -2.828098109268275 -3.083214534954088 -2.38518712118082 -3.9001467801156195 -3.508876532982029 -4.364646963322201 -4.575477702913368 -3.2429153778216033 -1.6157541421800232 -3.79328203662417 -3.2912902328948235 0.5634454860270495 -3.271500124784204 -2.7929314184858995         -0.19453312552500535 -3.5065837771328674 1.2771735554857884 -3.0366136084654443 -0.2251911696892961 -0.38046842017723037  
-1.5 0.0001 0.3 2.0 -1.7 100.0 -4.486023713760034 -2.9006301736101605 -3.139009544477794 -2.6612447826771586 -4.046201663091281 -3.65499896182196 -4.3894250010405855 -4.599582904624832 -3.314338859604753 -1.6523968066740125 -3.898012481441704 -3.567511744229492 0.5157414166693641 -3.3674212438284954 -2.8888719636548785         -0.2650162540539682 -3.5452923072764833 1.2282976764748597 -3.0753227930156157 -0.2972163120637248 -0.4523606482604663  
-1.5 0.0001 0.3 2.0 -2.0 100.0 -4.605005790081492 -3.0274222930384127 -3.2436453997101964 -2.9735075929471577 -4.225023436328961 -3.8338660296948888 -4.453025724166714 -4.660946264290864 -3.435156467456167 -1.7000135638655323 -4.0309057337555885 -3.879886928592313 0.4534559467773036 -3.5015791632027202 -3.0230176132569255         -0.3569719551908719 -3.595542606953252 1.1644718242776904 -3.1255645713714912 -0.39123869817441204 -0.5462078646555284  
-1.5 0.0001 0.3 3.0 -1.2 100.0 -4.325892412161124 -2.8250103495926666 -3.0893595894666035 -2.2364821617002875 -3.8552701591753475 -3.463504686214378 -4.503388582282831 -4.718989371278518 -3.259045494177194 -4.336327337643773 -3.7769455868208937 -3.139817768349346 -2.375645699682984 -3.249669061880006 -2.771112231980581         -3.8734789744565887 -5.821281980894234 -1.884056823060945 -5.351298543348271 -3.9741209167066316 -4.115436850321878  
-1.5 0.0001 0.3 3.0 -1.4 100.0 -4.375078796079137 -2.821051814883198 -3.076693795681443 -2.3816799003756017 -3.914995000923348 -3.5232408082291116 -4.475772694806345 -4.691200896088873 -3.2568588364268365 -4.45907018715905 -3.810313217407028 -3.284439528396824 -2.4673602593134305 -3.2728981393708096 -2.7943355926283147         -4.12585461538157 -6.005740053005233 -1.983426253730876 -5.5357638897869705 -4.210856622535722 -4.350655403852585  
-1.5 0.0001 0.3 3.0 -1.7 100.0 -4.510491508422085 -2.901633203560671 -3.139650013056823 -2.658150175915246 -4.0709030824842 -3.6791270347727476 -4.50757488722391 -4.722551240735513 -3.3309621991148433 -4.637724920216883 -3.9102008269638375 -3.559279782683099 -2.628396530270244 -3.3712841947949954 -2.8927221771402287         -4.58789240772095 -6.306475300046543 -2.151804722846876 -5.836510641807301 -4.652416313691418 -4.785845213946459  
-1.5 0.0001 0.3 3.0 -2.0 100.0 -4.745451922891029 -3.0460809190772054 -3.2604039242593927 -2.9706568124808967 -4.268822357333768 -3.8770636269836984 -4.582877211121982 -4.797212084966162 -3.4536424446365857 -4.796531948137357 -4.047444861795498 -3.868894837906268 -2.7943085464204955 -3.511731384504543 -3.033163951394613         -5.049275005844386 -6.6036088382698 -2.3206357076555335 -6.133635853718083 -5.086392751444187 -5.208197108430468  
-1.5 0.0001 0.3 4.0 -1.2 100.0 -4.587304308396497 -2.8794589711375806 -3.149985145008678 -2.2359210528074698 -3.9955066624527262 -3.6037308923255438 -4.587841967990897 -4.694605633228271 -3.183891329260099 -4.475357263470421 -3.841516887300749 -3.118335795510255 -2.36786677795952 -3.3095823976601793 -2.8310313534452334         -3.9282652361202395 -5.529207427433107 -1.8797881317429272 -5.059239541984496 -4.106426861431409 -4.157135001320306  
-1.5 0.0001 0.3 4.0 -1.4 100.0 -4.7999433340277875 -2.940512315725556 -3.2012112860487534 -2.3792291103582315 -4.079328931279385 -3.687568744411273 -4.535748977620443 -4.64206515299955 -3.192383802978121 -4.598168825091051 -3.882231705073629 -3.2592742342043692 -2.457224351765376 -3.3400742968725936 -2.861507832850023         -4.18893465078628 -5.7142852034170915 -1.9751450516949802 -5.244315666147585 -4.3582483470230144 -4.406736091426545  
-1.5 0.0001 0.3 4.0 -1.7 100.0 -5.324634159052103 -3.1648613647738344 -3.4088240496882065 -2.6530410013264714 -4.299261679095601 -3.9074898883160145 -4.533651471549803 -4.638272163982407 -3.3098305102435575 -4.732218340284639 -4.004040302508017 -3.527550736202926 -2.615162911796318 -3.4625965158419945 -2.9840118946158682         -4.598530529056909 -6.021709895758974 -2.137922314257885 -5.551742115803535 -4.749165420003315 -4.79317412396815  
-1.5 0.0001 0.3 4.0 -2.0 100.0 -6.033328047529771 -3.4831606602629748 -3.7260963335790294 -2.963051887804724 -4.580870692258024 -4.1891091444068635 -4.601365675461608 -4.703203225286046 -3.5160705367877583 -4.80771138743188 -4.172766465181972 -3.8311490962904458 -2.783200938352337 -3.638083381331356 -3.1595175127865573         -5.009168513805271 -6.323507583888848 -2.3083792915694588 -5.853530866928132 -5.143700179752209 -5.172824651701305  
-1.5 0.0001 0.5 2.0 -1.2 100.0 -4.341111356034226 -3.001265639342016 -3.261060968796521 -2.243196595108671 -3.9699267692874827 -3.5785112422393723 -5.00967890813115 -5.221060497087024 -3.4330560281434472 -1.7188302265902635 -3.7626825158252046 -3.1496111099935504 0.5737995822157416 -3.379884774997322 -2.901321670423563         -0.2878640122246807 -3.490703368318975 1.2951270852521901 -3.0207385182779163 -0.20004635637787516 -0.35536449623185007  
-1.5 0.0001 0.5 2.0 -1.4 100.0 -4.385746269271344 -2.9882181694518906 -3.237614064799182 -2.38828731056946 -4.024623343498163 -3.6332409448736698 -4.982716178439979 -5.195070420956824 -3.426501793848068 -1.731117941267435 -3.806068808825053 -3.2948721336955273 0.5576755937084314 -3.402129376995994 -2.923578032639405         -0.311393329178685 -3.503859437315711 1.2788450217471663 -3.033895829489147 -0.22406204346606273 -0.37933311804191305  
-1.5 0.0001 0.5 2.0 -1.7 100.0 -4.489548828985434 -3.047847123213934 -3.2778763441184964 -2.6639607546289596 -4.166323894060746 -3.774975170890869 -5.002635461951037 -5.214406820326175 -3.492967640367894 -1.767639287646432 -3.908684840302776 -3.5709101607874274 0.5092294127977794 -3.4959235118175727 -3.0173579654310885         -0.3818577291537153 -3.5424814282860027 1.229963261979428 -3.0725064503250934 -0.29604693462161435 -0.45119307363844996  
-1.5 0.0001 0.5 2.0 -2.0 100.0 -4.608042151754411 -3.1590161626796203 -3.3650896589982864 -2.9758428455403276 -4.340511652883272 -3.949195052186539 -5.062206373402908 -5.2718492067564355 -3.6090825475026875 -1.8150531769481049 -4.039096570598652 -3.8830935322935147 0.44599318178764946 -3.6279906475473354 -3.14942115000634         -0.4736865742415759 -3.59247313419705 1.166222834572082 -3.1225077136222197 -0.3899150191496119 -0.5448809353216006  
-1.5 0.0001 0.5 3.0 -1.2 100.0 -4.328114721169449 -2.98783793202918 -3.2484591661687077 -2.2385833970498084 -3.977654123730119 -3.5859128481724696 -5.1211508836258375 -5.336770365467132 -3.4404644185157593 -4.455163314591616 -3.7859513205880617 -3.142287662053505 -2.381899581803367 -3.3768644682926023 -2.89828728615349         -3.977571628814516 -5.840613299038246 -1.8884686565694864 -5.370651573442196 -3.9581337972787054 -4.099911564752574  
-1.5 0.0001 0.5 3.0 -1.4 100.0 -4.376306302230837 -2.9769122330045548 -3.226718331743079 -2.383513983348905 -4.03477477336633 -3.643018599006872 -5.089743887827581 -5.305210593994062 -3.4352984362874963 -4.5796811152114145 -3.8185280070536933 -3.2867447284649103 -2.4756038778961553 -3.39866806184412 -2.920095532333278         -4.245514057558715 -6.027852725236841 -1.990506611712462 -5.557880986254844 -4.213816654432364 -4.353615881193889  
-1.5 0.0001 0.5 3.0 -1.7 100.0 -4.510308644623542 -3.0439180526999507 -3.273566222187405 -2.6595360548143674 -4.185865655324342 -3.7940922373726167 -5.115584172512698 -5.330645922356062 -3.50420598022513 -4.7572846899608905 -3.9153165020967506 -3.5612994670992606 -2.635843143877466 -3.4944295025568266 -3.015868907907951         -4.689051919670121 -6.323882784328518 -2.1583777795300705 -5.853902986464128 -4.634755437982427 -4.769014928286445  
-1.5 0.0001 0.5 3.0 -2.0 100.0 -4.7442211133329835 -3.1718042861983946 -3.3766163059191 -2.971632116302942 -4.3787406076167485 -3.986952003884767 -5.185519333278982 -5.399953279937726 -3.6218565720322573 -4.915674004983174 -4.049372311473469 -3.8706324042770177 -2.8020306320838273 -3.632010806468898 -3.1534464132423423         -5.166221993344486 -6.6187224278485175 -2.3280500121651 -6.148760002139689 -5.085974348303672 -5.207944668707718  
-1.5 0.0001 0.5 4.0 -1.2 100.0 -4.584993246046174 -3.0364010374027615 -3.3073028632667274 -2.2365046211420463 -4.110183053676835 -3.71842126497625 -5.195492561899023 -5.302395825814472 -3.356744774975226 -4.594073374387051 -3.8428758044951294 -3.119180693355723 -2.3704986582327336 -3.428198031909183 -2.9496202437385435         -4.056772672212823 -5.547508217211686 -1.881636055736557 -5.077534054701587 -4.122836059102838 -4.171552792300808  
-1.5 0.0001 0.5 4.0 -1.4 100.0 -4.797321005772275 -3.090684717913959 -3.35221617723802 -2.3796973412141256 -4.192688264805774 -3.8009308037482583 -5.1415289742205985 -5.248051489842233 -3.3635020738667976 -4.715636953686889 -3.882331059437554 -3.260032303240493 -2.459307721749255 -3.457996652496014 -2.979431565198638         -4.3067656479651575 -5.727439036138442 -1.9764594784451432 -5.257479105798737 -4.358724242768091 -4.40722386351181  
-1.5 0.0001 0.5 4.0 -1.7 100.0 -5.321754848072956 -3.3035125562492595 -3.5543957967264035 -2.6533732324684394 -4.411000409500566 -4.019237844767112 -5.136909222219309 -5.241784747782347 -3.4789796626881255 -4.849304948857288 -4.002722858335474 -3.5281950684249637 -2.616795228851352 -3.579466677306499 -3.10089662051508         -4.715591827493803 -6.029123365944642 -2.1390992728890765 -5.559153863725442 -4.748434776355374 -4.792661904711643  
-1.5 0.0001 0.5 4.0 -2.0 100.0 -6.030542151362468 -3.619553579132635 -3.8763769952487266 -2.9632912784301126 -4.691499614914967 -4.299729062643564 -5.203238391662111 -5.3053597079807275 -3.6843234796519866 -4.924526035411056 -4.17043894370061 -3.831649859814057 -2.784256717362396 -3.7541666649026766 -3.2756094262510445         -5.125292106510166 -6.32569011105852 -2.309254751864252 -5.855706072801468 -5.141685420361306 -5.171153281042656  
-1.5 0.0002 0.1 2.0 -1.2 100.0 -4.069371844110037 -2.4701976259385745 -2.745838779152571 -2.2380871893301943 -3.526469237741871 -3.135708494875047 -3.782542377461418 -3.9873314661036687 -2.8547725073476045 -1.2667304922824414 -3.4893075691596422 -3.141805801907374 0.5754187912143607 -2.9127866587683826 -2.4342111927379335         0.16896864655476662 -3.215718006565723 1.2889642608961367 -2.745742032776164 0.06468256622851243 -0.09064190866473609  
-1.5 0.0002 0.1 2.0 -1.4 100.0 -4.116696366475907 -2.4784435208089732 -2.748629494503298 -2.3832934839880053 -3.5928131173691824 -3.2021510186361652 -3.7680464308010215 -3.973671061277649 -2.861665717928979 -1.2789399532609949 -3.5367492266072205 -3.2866354793904478 0.5596313650110858 -2.940020283055837 -2.4614388327662127         0.14547610488495621 -3.228802162682861 1.2727695865517603 -2.7588272132299565 0.04068143937335833 -0.11459354331599059  
-1.5 0.0002 0.1 2.0 -1.7 100.0 -4.221732953193353 -2.579582130713682 -2.837584963893555 -2.6591594501876656 -3.755797123917013 -3.365240681179422 -3.807795074585407 -4.011806824914757 -2.951519352526496 -1.3153161828734596 -3.6484742454521637 -3.5619642279069197 0.5122440096843448 -3.0421437951690677 -2.5635828959536298         0.07510879641650092 -3.2672605507069505 1.2241185111063828 -2.797293773009642 -0.031236951802753765 -0.18639232749079326  
-1.5 0.0002 0.1 2.0 -2.0 100.0 -4.338603831282747 -2.741195160772989 -2.9812163111253014 -2.9712254734999135 -3.953153796054181 -3.5626776025881597 -3.8844560519677813 -4.0847743396599085 -3.0910273439051537 -1.3625402918809968 -3.7892000896032485 -3.873381624477048 0.45046466200714974 -3.1828711272836614 -2.704300982510489         -0.016626335566094497 -3.3170881366800913 1.1607085722924282 -2.847130945782986 -0.12504877181542895 -0.28002272480456014  
