# logU  Z  xi  lnh  NV1240 CIV1548 CIV1551     HeII1640 OIII1661 OIII1666 SiIII1883 SiIII1888 CIII1909 OII3727 NeIII3869     HeII4686 Hbeta OIII4959 OIII5007 OI6300 NII6548 Halpha NII6584 SII6717 SII6731 
-1.0 0.0001 0.1 1.0 180300.0 85640000.0 43470000.0 4385000.0 4366000.0 10740000.0 849900.0 502500.0 24340000.0 477000.0 5775000.0 219600.0 64470000.0 22070000.0 66420000.0 6231.0 1844.0        185700000.0 5441.0 22680.0 16230.0  
-1.0 0.0001 0.1 2.0 179500.0 85320000.0 43290000.0 4387000.0 4327000.0 10650000.0 1207000.0 715500.0 23730000.0 453600.0 5795000.0 219400.0 64690000.0 22030000.0 66320000.0 6263.0 1810.0        186300000.0 5340.0 21260.0 16400.0  
-1.0 0.0001 0.1 3.0 180300.0 82780000.0 41970000.0 4395000.0 4161000.0 10240000.0 1099000.0 670100.0 21940000.0 340700.0 5703000.0 219700.0 64960000.0 21670000.0 65220000.0 6350.0 1596.0        186500000.0 4709.0 13580.0 15840.0  
-1.0 0.0001 0.1 4.0 183000.0 81810000.0 41440000.0 4404000.0 3977000.0 9787000.0 879900.0 686900.0 20040000.0 145800.0 5632000.0 220100.0 65100000.0 20870000.0 62820000.0 6386.0 1345.0        186600000.0 3968.0 3802.0 7503.0  
-1.0 0.0001 0.3 1.0 179100.0 44940000.0 23730000.0 4232000.0 3622000.0 8917000.0 366600.0 216700.0 17260000.0 378300.0 5434000.0 214200.0 59020000.0 17480000.0 52600000.0 5027.0 1728.0        170400000.0 5098.0 21570.0 15430.0  
-1.0 0.0001 0.3 2.0 178400.0 44860000.0 23670000.0 4235000.0 3599000.0 8860000.0 528800.0 313500.0 16900000.0 361500.0 5469000.0 214100.0 59380000.0 17500000.0 52680000.0 5059.0 1703.0        171400000.0 5025.0 20260.0 15630.0  
-1.0 0.0001 0.3 3.0 179200.0 43620000.0 23000000.0 4240000.0 3456000.0 8508000.0 483800.0 295000.0 15620000.0 273600.0 5385000.0 214300.0 59730000.0 17230000.0 51860000.0 5129.0 1513.0        171800000.0 4466.0 12970.0 15120.0  
-1.0 0.0001 0.3 4.0 181900.0 42950000.0 22620000.0 4247000.0 3280000.0 8075000.0 386800.0 301600.0 14180000.0 117400.0 5302000.0 214600.0 59850000.0 16550000.0 49810000.0 5150.0 1279.0        171800000.0 3775.0 3628.0 7159.0  
-1.0 0.0001 0.5 1.0 178100.0 24810000.0 13700000.0 4094000.0 2732000.0 6728000.0 85380.0 50480.0 11320000.0 273200.0 5136000.0 209300.0 54350000.0 12600000.0 37930000.0 3684.0 1626.0        157300000.0 4798.0 20580.0 14720.0  
-1.0 0.0001 0.5 2.0 177500.0 24790000.0 13670000.0 4096000.0 2719000.0 6698000.0 125000.0 74080.0 11120000.0 262100.0 5179000.0 209100.0 54760000.0 12640000.0 38060000.0 3711.0 1608.0        158400000.0 4746.0 19360.0 14930.0  
-1.0 0.0001 0.5 3.0 178300.0 24120000.0 13290000.0 4100000.0 2613000.0 6434000.0 114900.0 70060.0 10280000.0 200200.0 5105000.0 209200.0 55140000.0 12460000.0 37510000.0 3761.0 1442.0        158900000.0 4254.0 12410.0 14460.0  
-1.0 0.0001 0.5 4.0 181000.0 23650000.0 13010000.0 4104000.0 2466000.0 6074000.0 91630.0 71350.0 9280000.0 86060.0 5015000.0 209400.0 55240000.0 11950000.0 35960000.0 3772.0 1222.0        158900000.0 3606.0 3469.0 6846.0  
-1.0 0.0002 0.1 1.0 142200.0 82600000.0 40560000.0 2323000.0 4829000.0 11850000.0 1180000.0 698300.0 32050000.0 987200.0 7638000.0 102300.0 52050000.0 29480000.0 88730000.0 9260.0 3904.0        149000000.0 11520.0 35150.0 25140.0  
-1.0 0.0002 0.1 2.0 141800.0 82390000.0 40440000.0 2324000.0 4784000.0 11740000.0 1799000.0 1067000.0 31280000.0 929700.0 7626000.0 102200.0 52280000.0 29450000.0 88640000.0 9315.0 3778.0        149600000.0 11150.0 32720.0 25240.0  
